place_name,alternate_names,state,country,latitude,longitude,timezone_hours,altitude/elevation
Ras Al Khaimah,Julfa|Khaimah|RAK City|RKT|Ra's al Khaymah|Ra's al-Chaima|Ras Al Khaimah|Ras Al Khaimah City|Ras al Hajma|Ras al Khaimah|Ras al-Chajma|Ras al-Hajma|Ras al-Khaimah|Ras el Khaimah|Ras el Khajma|Ras el-Kheima|Ras-al'-Khajma|Ras-ehl'-Khajma|Ras-el'-Khajma|Resue'l-Hayme|ras alkhymh|ras alkhymt|rasa ala kha'imaha|rasa ala khaima|rasa ala khaimaha,Ras Al Khaimah,United Arab Emirates,25.78953,55.9432,4.0,2.0
Muzayri',Mezaira'a|Mizeir`ah|Mozayri`|Muzairi|Muzayri`,Abu Dhabi,United Arab Emirates,23.14355,53.7881,4.0,123.0
Masfut,Masfut|Sha'biyyat Masfut,Ajman,United Arab Emirates,24.81089,56.10657,4.0,460.0
Zayed City,Bid' Zayed|Madinat Za'id|Madinat Zayid|Zayed City|mdynt zayd,Abu Dhabi,United Arab Emirates,23.65416,53.70522,4.0,118.0
Khawr Fakkan,Fakkan|Khawr Fakkan|Khawr al Fakkan|Khor Fakhan|Khor Fakkan|Khor Fakkan City|Khor al Fakhan|Khor al Fakkan|Khor'fakkan|Khor-Fakkan|Khorfakan|Khorfakhan|Port Khor Fakkan|mdynt khwr fkan,Sharjah,United Arab Emirates,25.33132,56.34199,4.0,20.0
Kalba,Ghalla|Ghallah|Kalba|Kalbah|Qalba,Sharjah,United Arab Emirates,25.0513,56.35422,4.0,15.0
Jumayra,Jimeirah|Jumaira|Jumairah|Jumayra|Jumayrah|Jumeira|Jumeirah|jmyra,Dubai,United Arab Emirates,25.20795,55.24969,4.0,5.0
Al Jazirah al Hamra',Al Hamra'|Al Jazeera Al Hamra|Al Jazirah al Hamra'|Hamra,Ras Al Khaimah,United Arab Emirates,25.7091,55.80772,4.0,3.0
Dubai,DXB|Dabei|Dibai|Dibay|Doubayi|Dubae|Dubai|Dubai City|Dubai emiraat|Dubaija|Dubaj|Dubajo|Dubajus|Dubay|Dubayy|Fort Dabei|Ntoumpai|dby|dbyy|di bai|dobai|du bai|duba'i|dubai|dubay|dube|dubi|dwbyy|tupai,Dubai,United Arab Emirates,25.07725,55.30927,4.0,24.0
Dibba Al-Fujairah,Al-Fujairah|BYB|Dibba Al-Fujairah|dba alfjyrt,Fujairah,United Arab Emirates,25.59246,56.26176,4.0,16.0
Dibba Al-Hisn,BYB|Daba|Daba al-Hisn|Diba|Diba Al Hisn|Diba al Hisn|Dibah|Dibba|Dibba Al Hisn|Dibba Al'-Khisn|Dibba Al-Hisn|Dibbah|Hisn Diba|Husn Dibba,Fujairah,United Arab Emirates,25.61955,56.27291,4.0,4.0
Dayrah,Daira|Dairah|Dayrah|Deira|Dirah|dyrt,Dubai,United Arab Emirates,25.27143,55.30207,4.0,10.0
Sharjah,Al Sharjah|Ash 'Mariqah|Ash Shariqa|Ash Shariqah|Ash-Shariqah emiraat|Charjah|SHJ|Sardza|Sardzsa|Sarika|Sarja|Sarjo|Sarza|Schardscha|Shardza|Shardzha|Shardzha kuorat|Sharga|Sharijah|Shariqah|Sharja|Sharjah|Sharjah city|Szardza|Xarja|Xarjah|alsharqt|amart alsharqt|carja|charc ah|mdynt alsharqt|saraja|sarajaha|sarja|sharija|sharja|sharjh|sharuja|syaleuja|xia er jia,Sharjah,United Arab Emirates,25.3342,55.41221,4.0,15.0
Ar Ruways,Ar Ru'ays|Ar Ruways|Ar-Ruvais|Ruwais|alrwys|ar-Ruways|lu wa si|ruvais,Abu Dhabi,United Arab Emirates,24.11028,52.73056,4.0,16.0
Al Manamah,Al Manamah|Manama|Manamah,Ajman,United Arab Emirates,25.3299,56.02188,4.0,213.0
Hatta,Al Hagarein|Al Hajarayn|Hajarain|Hajarayn|Hajrain|Hatta|hta,Dubai,United Arab Emirates,24.80073,56.12726,4.0,335.0
Fujairah,Al Fujairah City|Al Fujayrah|Al-Fudjayra|Al-Fujayrah' emiraat|El'-Fudzhajra|FJR|Fudschaira|Fudzajra|Fudzejra|Fudzhejra|Fueceyre|Fujaira|Fujairah|Fujajro|Fujayrah|Fuzhajra|alfjyrt|fjyrh|fjyrt|fu ji la|fujaira|mdynt alfjyrt|phuja'ira|phujaira|phujairaha|pwg'yyrh,Fujairah,United Arab Emirates,25.11641,56.34141,4.0,15.0
Al Ain City,AAN|Ainas|Al Ain|Al Ain City|Al Ajn|Al Ayn|Al `Ayn|Al-Ain|Al-Ajn|Al-Ayin|Al-Ayn|Ehl'-Ajn|El Ain|El-Ajn|ai yin|al ain|al-ain|al-aini|ela ena,Abu Dhabi,United Arab Emirates,24.19167,55.76056,4.0,275.0
Ajman,Acman|Adschman|Adzhman|Adzman|Ajma|Ajman|Ajman City|Al Ajman|QAJ|Ujman|ajamana|ajman|ajuman,Ajman,United Arab Emirates,25.40177,55.47878,4.0,2.0
Adh Dhayd,Adh Dhaid|Adh Dhayd|Adh Dhed|Al Daid|Al-Dhayd|Az-Zajd|Dayd|Dhaid|Dhayd|Duhayd|Ehd-Dajd|Ihaid|Zeyd|adh-Dhayd|aldhyd|da yi de|daid|dhyd,Sharjah,United Arab Emirates,25.28812,55.88157,4.0,114.0
Abu Dhabi,A-pu-that-pi|AEbu Saby|AUH|Aboe Dhabi|Abou Dabi|Abu Dabi|Abu Dabis|Abu Daby|Abu Daibi|Abu Dhabi|Abu Dhabi Island and Internal Islands City|Abu Dhabi emiraat|Abu Zabi|Abu Zaby|Abu Zabye|Abu Zabyo|Abu-Dabi|Abu-Dabi khot|Abu-Dabio|Abu-Dzabi|Ampou Ntampi|Ebu Dabi|Ebu Dhabi|a bu zha bi|abu dhabi|abu-dabi|abudabi|abudhabi|abw zby|abwzby|aputapi|jzyrt abwzby wjzr dakhlyt akhry|xa bud abi,Abu Dhabi,United Arab Emirates,24.45118,54.39696,4.0,6.0
Abu Hayl,Abu Hail|Hail,Dubai,United Arab Emirates,25.28413,55.33153,4.0,3.0
As Satwah,Al Satwa|As Satwah|Satwa|alstwh,Dubai,United Arab Emirates,25.22192,55.27459,4.0,9.0
Nadd al Humr,Nad al Hamar|Nadd Al Hamar|Nadd al Hamar|Nadd al Humr|nd alhmr,Dubai,United Arab Emirates,25.20131,55.38388,4.0,10.0
Suwayhan,Suwayhan|Sweihan|suayhan,Abu Dhabi,United Arab Emirates,24.46235,55.33715,4.0,147.0
Al Hamidiyah,Al Hamidiyah|alhmydyt,Ajman,United Arab Emirates,25.40001,55.52925,4.0,15.0
Al Waheda,,Dubai,United Arab Emirates,25.29173,55.33822,4.0,-1.0
Al Twar First,Al Twar 1,Dubai,United Arab Emirates,25.27148,55.36165,4.0,2.0
AL Twar Second,Al Twar 2,Dubai,United Arab Emirates,25.26309,55.38028,4.0,4.0
Al Qusais Second,Al Qusais 2,Dubai,United Arab Emirates,25.27148,55.38603,4.0,8.0
Al Karama,,Dubai,United Arab Emirates,25.24004,55.30106,4.0,4.0
Al Hudaiba,,Dubai,United Arab Emirates,25.24151,55.27805,4.0,3.0
Al Wasl,,Dubai,United Arab Emirates,25.19881,55.25565,4.0,2.0
Knowledge Village,,Dubai,United Arab Emirates,25.10223,55.16433,4.0,-3.0
The Palm Jumeirah,Palm Jumeirah|nkhlt aljmyrt,Dubai,United Arab Emirates,25.11607,55.13506,4.0,-9999.0
Za'abeel,Zabeel,Dubai,United Arab Emirates,25.22536,55.305,4.0,10.0
Oud Metha,,Dubai,United Arab Emirates,25.23685,55.31419,4.0,3.0
Bur Dubai,br dby,Dubai,United Arab Emirates,25.26038,55.29891,4.0,11.0
Khalifah A City,Khalifah A City|Madinat Khalifah A|mdynt khlyft a|mdynt khlyft a/ mtar abwzby aldwly,Abu Dhabi,United Arab Emirates,24.42588,54.605,4.0,0.0
Shakhbout City,Madinat Khalifah B|mdynt khlyft b,Abu Dhabi,United Arab Emirates,24.36727,54.63721,4.0,5.0
Mirdif,Mirdif|mrdf,Dubai,United Arab Emirates,25.22443,55.41412,4.0,24.0
Hawr al 'Anz,Hawr al `Anz|Hor al Anz,Dubai,United Arab Emirates,25.27744,55.33675,4.0,5.0
Mankhul,Al Mankhool|Mankhool|Mankhul|mnkhwl,Dubai,United Arab Emirates,25.24612,55.29222,4.0,0.0
Bur Sa'id,Bur Sa`id|Port Saeed,Dubai,United Arab Emirates,25.261,55.33016,4.0,3.0
Nayf,Naif|Nayf|nayf,Dubai,United Arab Emirates,25.27139,55.30323,4.0,9.0
Al Murar al Qadim,Al Murar|Al Murar al Qadeem|Al Murar al Qadim|almrr alqdym,Dubai,United Arab Emirates,25.27576,55.30738,4.0,8.0
Ar Riqqah,Al Rigga|Ar Riqqah|alrqt,Dubai,United Arab Emirates,25.26797,55.31272,4.0,7.0
Al Warqaa,Al Warqaa,Dubai,United Arab Emirates,25.19272,55.42013,4.0,29.0
International City,Dubai International City|International City,Dubai,United Arab Emirates,25.16383,55.40987,4.0,15.0
Dubai Marina,Dubai Marina|Dubaj Marina|Dubaja Jakthaveno|Marina de Dubai|dby maryna|dobaimarina|dubai marina|mrsy dby,Dubai,United Arab Emirates,25.08525,55.14646,4.0,-9.0
Dubai Sports City,,Dubai,United Arab Emirates,25.03878,55.21725,4.0,23.0
Dubai Internet City,Dubai Internet City,Dubai,United Arab Emirates,25.09538,55.16171,4.0,-9.0
Al Safa,Al Safa,Dubai,United Arab Emirates,25.17047,55.23336,4.0,0.0
Ar Rumaylah,Ar Rumaylah|alrmylt,Ajman,United Arab Emirates,25.40338,55.4334,4.0,2.0
Mushayrif,Mushayrif|mshyrf,Ajman,United Arab Emirates,25.40977,55.47106,4.0,5.0
Al Jurf,Al Jurf|aljrf,Ajman,United Arab Emirates,25.41814,55.50791,4.0,6.0
Al Majaz,,Sharjah,United Arab Emirates,25.32354,55.38774,4.0,10.0
As Satwah Sharq,Al Jafiliya|Al Satwa East|As Satwah Sharq|alstwh shrq,Dubai,United Arab Emirates,25.23796,55.28678,4.0,3.0
Dubai Festival City,,Dubai,United Arab Emirates,25.22177,55.35733,4.0,4.0
Dubai International Financial Centre,,Dubai,United Arab Emirates,25.2106,55.27787,4.0,7.0
Downtown Dubai,wst mdynt dby,Dubai,United Arab Emirates,25.19408,55.2781,4.0,0.0
Dubai Investments Park,,Dubai,United Arab Emirates,25.00827,55.15682,4.0,0.0
Jebel Ali,,Dubai,United Arab Emirates,25.00255,55.10811,4.0,5.0
Bani Yas City,Bani Yas|Bani Yas City|mdynt bny yas,Abu Dhabi,United Arab Emirates,24.30978,54.62944,4.0,14.0
Musaffah,Musaffa|Musaffah City|msfh,Abu Dhabi,United Arab Emirates,24.35893,54.48267,4.0,7.0
Al Shamkhah City,Al Shamkhah City|mdynt alshamkht,Abu Dhabi,United Arab Emirates,24.39268,54.70779,4.0,34.0
Reef Al Fujairah City,Reef Al Fujairah City|ryf alfjyrt,Fujairah,United Arab Emirates,25.14479,56.24764,4.0,129.0
Sha'biyyat Al Hiyar,Al Hiyar|Sha'biyyat Al Hiyar|Shabiat Al Hayer|Shabiat Al Hiyar,Abu Dhabi,United Arab Emirates,24.58242,55.7467,4.0,343.0
Umm Al Sheif,am alshyf,Dubai,United Arab Emirates,25.13227,55.20567,4.0,21.0
Al Bada'a,,Dubai,United Arab Emirates,25.22462,55.26888,4.0,11.0
Al Muteena,Muteena,Dubai,United Arab Emirates,25.27375,55.32265,4.0,20.0
Al Mizhar First,Al Mizhar 1,Dubai,United Arab Emirates,25.24805,55.44128,4.0,24.0
Al Mizhar Second,Al Mizhar 2,Dubai,United Arab Emirates,25.24332,55.4619,4.0,34.0
Dubai Silicon Oasis,Silicon Oasis,Dubai,United Arab Emirates,25.11985,55.38718,4.0,11.0
Dubai Motor City,Motor City,Dubai,United Arab Emirates,25.04593,55.24102,4.0,30.0
DAMAC Hills,,Dubai,United Arab Emirates,25.02924,55.25277,4.0,14.0
Al Furjan,,Dubai,United Arab Emirates,25.02651,55.14565,4.0,16.0
Business Bay,,Dubai,United Arab Emirates,25.18544,55.26969,4.0,16.0
Al Qusais 1,Al Qusais First,Dubai,United Arab Emirates,25.27925,55.36995,4.0,11.0
Al Twar 3,Al Twar Third,Dubai,United Arab Emirates,25.25159,55.39408,4.0,15.0
Al Khabaisi,alkhbysy,Dubai,United Arab Emirates,25.26628,55.33379,4.0,16.0
Al Khawaneej 1,,Dubai,United Arab Emirates,25.24882,55.48545,4.0,42.0
Halwan,,Sharjah,United Arab Emirates,25.34586,55.42165,4.0,16.0
Al Sajaah,,Sharjah,United Arab Emirates,25.31532,55.63211,4.0,67.0
Lahbab,Lehbab|lhbab,Dubai,United Arab Emirates,25.03763,55.59135,4.0,125.0
Al Madam,,Sharjah,United Arab Emirates,24.97355,55.77781,4.0,172.0
Mohammed Bin Zayed City,Mohammed Bin Zayed,Abu Dhabi,United Arab Emirates,24.34794,54.55368,4.0,3.0
Masdar City,,Abu Dhabi,United Arab Emirates,24.43208,54.61582,4.0,1.0
Kuhsan,Kohistan|Kohsan|Koshan|Kuhestan|Kuhsan|Kukhsan|khsan|kufusan|kuhasana|kuhisani|kwhsan|kwhstan,Herat,Afghanistan,34.65389,61.19778,4.5,740.0
Tukzar,Kala Sangcharak|Qal`eh Sangcharek|Qala Sangcharak|Sangcarak|Sangcharak|Takzar|Tokzar|Tuksar|Tukzar|tkzar|tokuzaru|tukajara|tukazara|tukizari|twkzar,Sar-e Pol Province,Afghanistan,35.94831,66.42132,4.5,1210.0
Zindah Jan,Fusanj|Fushanj|Zendajan|Zendeh Jan|Zindah Jan|Zindai Zhon|Zindajan|Zindakh Zhan|Zyndakh Zhan|jindaha jana|jindajan|zida jana|zindaha jana|zinidahi jani|zndh jan|zndt jan,Herat,Afghanistan,34.34264,61.74675,4.5,834.0
Zarghun Shahr,Katawaz|Khayr Kot|Khayr Kut|Zaraghun Sahr|Zarghun Sahr|Zarghun Shahr|Zargun Shahr|Zargunsahr|zrghwn shhr,Paktika,Afghanistan,32.84734,68.44573,4.5,2120.0
Zarah Sharan,Sharan|Sharnah|Sherana|Sheranna|Zara Saran|Zara-Sharan|Zarah Sharan|Zareh Sharan,Paktika,Afghanistan,33.14641,68.79213,4.5,2154.0
Zaranj,Sarandsch|ZAJ|Zaranas|Zarandj|Zarandz|Zarandzas|Zarandzh|Zarang|Zarani|Zaranj|Zaranzh|Zerenc|Zhazang|jaranja|zaraniji|zaranja|zaranji|zha lan ji|zrnj,Nimroz,Afghanistan,30.95962,61.86037,4.5,489.0
Yangi Qal'ah,Yangi Kala|Yangi Qal`ah|Yangi Qal`eh|Yangi Qala|Yengi Qal`eh,Takhar,Afghanistan,37.46572,69.61131,4.5,471.0
Bazar-e Yakawlang,Bazar-e Yakavlang|Bazar-e Yakawlang|Bazar-e Yekawlang|Bazare Yakawlang|Bazari-Yakavlang|Yakaulang|Yakavlang|Yakawlang|bazar ykawlng,Bamyan,Afghanistan,34.73525,66.97379,4.5,2585.0
Tir Pul,Tir Pol|Tir Pul|Tirpul|tyr pl,Herat,Afghanistan,34.59431,61.26895,4.5,751.0
Tarinkot,TII|Tareen|Tarin Kowt|Tarinkot|Tirin|Tirinkot|tarinakota|tarinikweti|tarinkotto|tryn kwt,Oruzgan,Afghanistan,32.62998,65.87806,4.5,1325.0
Taloqan,Khanabad|TQN|Taikhan|Taleqan|Talikan|Talikhan|Taliqan|Talkan|Talogan|Talokan|Taloqan|Talugan|Talukan|Talukanas|Taluqan|Tologan|ta lu kan|talokam|talokana|talokuvan|taloqana|taloqani|talqan|tarokan,Takhar,Afghanistan,36.73605,69.53451,4.5,801.0
Tagaw-Bay,Bai|Bay|Tagaw-Bay|Tagaw-bay|Tagow Bay|tgaw bay,Sar-e Pol Province,Afghanistan,35.69941,66.06164,4.5,1666.0
Tagab,Pagab|Tagab|Tagao|tgab,Kapisa,Afghanistan,34.85501,69.64917,4.5,1335.0
Shindand,Asfazar|OAH|Sabzavar|Sabzawar|Sabzevar|Shindan|Shindand|Shyndan|Sindand|shindando|shinidanidi|shndnd|shyndnd|sidanda|sindanda,Herat,Afghanistan,33.30294,62.1474,4.5,1071.0
Shibirghan,Chibirchan|Markaz-e Wilayat-e Shibirghan|Schibirgan|Seberghan|Shahr-e Sheberghan|Shayurgan|Shebergan|Sheberghan|Sheberkhan|Shefrogan|Shibarghan|Shibergan|Shibirgan|Shibirghan|Shibirgon|Shoburgon|Sibircan|mrkz wlayt shbrghan|shbrghan|shbrghn|shibirigani|shibirugan|sibiraghana,Jowzjan,Afghanistan,36.66757,65.7529,4.5,360.0
Shahrak,Bati Dara|Kala Shaharak|Kala Shahrak|Markaz-e Shahrak|Qal`eh Shaharak|Qal`eh-ye Bati Darrah|Qala Bati Dara|Qala Shaharak|Qala Sharak|Sahrak|Shahrag|Shahrak|Shakhrak|Sharak|Wala Shahrak|saharaka|shafuraku|shahhiraki|shhrk,Ghowr,Afghanistan,34.10737,64.3052,4.5,2357.0
Markaz-e Sayyidabad,Markaz-e Sajidabad|Markaz-e Sayyidabad|Markaz-e Seyydabad|Markaz-e Seyyedabad|Markaze Saydabad|Markazi Sajidobod|Markazi-Saidabad|Merkez-i Seyyidabad|Saydabad|Sayyidabad|Seyyedabad|marakaza-e saiyadabada|marakaza-i saiyadabada|markaja-i sa'iyedabada|marukazesaiidabado|mrkz syd abad|mrkz sydabad|syd abad,Maidan Wardak Province,Afghanistan,34.00037,68.71346,4.5,2113.0
Sidqabad,Makhmudraki|Qal'eh-i-Wazir|Qal`a Wazir|Qal`ah-ye Wazir|Sedgabad|Sedqabad|Sidkabad|Sidqabad|Sidqobod|sdg abad|sdq abad|sdqabad|shidokabado|sidakabada|sidiqabadi,Kapisa,Afghanistan,35.02298,69.35112,4.5,1486.0
Sar-e Pul,Sar-e Pol|Sar-e Poul|Sar-e Pul|Sar-i-Pul|Sari Pul|Sari-Pul|Sari-Pul'|Saripo'l|sara-e pula|sara-i pula|sarepuru|sr pl|srpl,Sar-e Pol Province,Afghanistan,36.21544,65.93249,4.5,657.0
Sangin,Sandzhin|Sangin|Sarban Qal`eh|sangin|sangina|sanigini|sngyn,Helmand,Afghanistan,32.07275,64.8359,4.5,885.0
Sang-e Charak,Sang-e Charak|Sangcharak|sngchark,Sar-e Pol Province,Afghanistan,35.84972,66.43694,4.5,1483.0
Aibak,Aibak|Ajbak|Aybak|Eybak|Haibak|Samagan|Samangan|a'ibaka|aibaka|aibaku|ay bk|aybk|smngan,Samangan,Afghanistan,36.26468,68.01551,4.5,969.0
Rudbar,Rudbar,Nimroz,Afghanistan,30.15,62.6,4.5,556.0
Rustaq,Rostaq|Rustak|Rustaq|rstaq|rusataka|rusitaqi|rustaka|rusutaku|rwstaq,Takhar,Afghanistan,37.12604,69.83045,4.5,1314.0
Qarqin,Karkin|Karkin Bazar|Kkhanika|Qarkin|Qarqin|Quarkin|karakina|karukin|qariqini|qrqyn,Jowzjan,Afghanistan,37.41853,66.04358,4.5,263.0
Qarchi Gak,Qarchi Gak|qrchy gk,Balkh,Afghanistan,37.03999,66.78891,4.5,306.0
Qarawul,Hazrat Imam|Hazrat Imam Saiyid|Karaul|Qaravol|Qarawul|qrawl,Kunduz,Afghanistan,37.21959,68.7802,4.5,337.0
Qarah Bagh,Kara Bag|Karabagh|Karo Bag|Kharabagh|Qara Bag|Qara Baqh|Qarabagh|Qarah Bagh|Qareh Bagh|kara baga|karabagu|qaraha baga|qrh bagh,Herat,Afghanistan,34.94023,61.77589,4.5,952.0
Qala i Naw,Kala Nao|Kala-i Naw|Kala-i-Nau|Kalai-Naw|Kalayi-Nau|LQN|Qal'ai Now|Qal'eh Now|Qal`a-i-Naw|Qal`ah-ye Now|Qal`eh Nau|Qal`eh-ye Now|Qala Nau|Qala Naw|Qala i Naw|Qala-e-Nau|Qala-i Naw|Qala-i-Nau|Qala-i-Naw|Qalaenaw|Qula-i-nau|Shehr Qaleh|Shehr Qeleh|kala i na'o|kala i nava|karainau|qala i nava,Badghis,Afghanistan,34.98735,63.12891,4.5,887.0
Qal'ah-ye Shahr,Faoghan|Kala Shahar|Qal`a-i-Sahr|Qal`ah-ye Shahr|Qal`eh Shahar|Qal`eh Shahr|Qala Sahr|Qala Shahar,Sar-e Pol Province,Afghanistan,35.54729,65.5676,4.5,2136.0
Qalat,Kalat|Kalat-i-Ghilzai|Qalat|kalata|karatto|qalata|qlat|qwalati,Zabul,Afghanistan,32.10575,66.90833,4.5,1568.0
Parun,Parun|Poruns|Prasun|Prasungul|Puruns|parun|paruna|parwn|prns,Nuristan,Afghanistan,35.42064,70.92261,4.5,2756.0
Pul-e Khumri,Pol-e Khomri|Poul-e Khoumri|Pul'-i-Khumri|Pul-e Khumri|Pul-i-Khomri|Pul-i-Khumri|Pule Humri|Pule Khumri|Puli Khumri|Puli Xumri|Puli-Khumri|pl khmry|pula-e khumari|pula-i khumari,Baghlan,Afghanistan,35.94458,68.71512,4.5,638.0
Pul-e 'Alam,Pol-e `Alam|Poul-e Alam|Pul'-i-Alam|Pul-e 'Alam|Pul-e Alam|Pul-e `Alam|Pul-i-Alam|Pule Alam|Puli Olam|pula-e alama|pula-i alama,Logar,Afghanistan,33.99529,69.02274,4.5,1921.0
Panjab,Pandzhab|Pandzhau|Panjab|Panjao|Panjaw|bnjab|pajaba|panjaba|panjabu|pnjab,Bamyan,Afghanistan,34.38795,67.02327,4.5,2728.0
Paghman,Paghman|Paghman Palace|Pagman|pghman,Kabul,Afghanistan,34.58787,68.95091,4.5,2328.0
Uruzgan,Orozgan|Oruzgan|Qala-i-Hazar Qadam|URZ|Uruzgan|arwzgan|arzgan,Oruzgan,Afghanistan,32.92775,66.63253,4.5,2026.0
Nili,Nili|Qaryah-e Nili|nili|niri|nyly,Daykundi,Afghanistan,33.72178,66.13023,4.5,2022.0
Nahrin,Nahrin|Nakhrin|Narain|Narin|naharin|naharina|nahirini|nahryn|nhryn,Baghlan,Afghanistan,36.0649,69.13343,4.5,1138.0
Mir Bachah Kot,Mir Bachah Kot|Mir Bachcheh Kowt|Mir Bachcheh Kut|Mir Bachchen Kut|Mir Bacheh Kowt|Mir Bacheh Kut|Mir Baga Kot|Mir Dacha Kote|Mir-Bacha-Kot|Mir-Basha-Kot|Mirbaca Kot|Mirbachakot|Sara-ye Khvajeh|Sara-ye Khwajah|Sarai Khwaja|Saray Khvajah|Saray-Khwaja|Saraykhodzha|mira baca kota|mira bacaha kota|miri bachahi kweti|myr bachah kwt|myr bchh kwt|sray khwajh,Kabul,Afghanistan,34.74999,69.11899,4.5,1673.0
Mirabad,Mirabad|Mirabad-e Mohammad Akbar|myr abad,Nimroz,Afghanistan,30.43624,61.8383,4.5,514.0
Maymana,Daerah Maymana|MMZ|Maimana|Maimanah|Majmana|Maymana|Maymanah|Meimana|Mejmene|Meymaneh|Meymene|Mimana|Quan Maymana|mai ma na|maimana|mayamana|mayimana|meyamana|mymnh|mymnt,Faryab,Afghanistan,35.92139,64.78361,4.5,877.0
Mehtar Lam,Laghman|Mehtar Lam|Mekhtar-Lam|Mekhtari Lom|Mekhtarlam|Metarlam|Mextar Lam|Mir Talam Saheb Ziarat|Mitarlam|Miterlam|Nawar Lam|mehatara lama|mehataramu|mhtr lam|mkhtar lam,Laghman,Afghanistan,34.67139,70.20944,4.5,795.0
Mazar-e Sharif,MZR|Masar-e Scharif|Mazar-e Charif|Mazar-e Sarif|Mazar-e Sharif|Mazar-e-Sharif|Mazar-i Sharif|Mazar-i Szarif|Mazar-i-Sharif|Mazare Srif|Mazari Sharif|Mazari-Sharif|Mazori Sharif|Mezirek-i Serif|majaleu-isyalipeu|majara-i saripha|mazara-e saripha|mazarisharifu|mzar shryf,Balkh,Afghanistan,36.70904,67.11087,4.5,361.0
Lashkar Gah,BST|Bist|Bost|Bust|Lachkargah|Lashkar Gah|Lashkargah|Lashkargah Bust|Lashkargakh|Laskargah|Nawab City|lasakara gaha|lasikari gahi|laskara gaha|lshkr gah|lshkrgah|rashukaruga,Helmand,Afghanistan,31.59382,64.37161,4.5,786.0
Larkird,Lar Gerd|Largird|Largirid|Larkerd|Larkird|lrkrd,Sar-e Pol Province,Afghanistan,35.48936,66.66409,4.5,1508.0
Kushk,Kushk|Kusk|kshk,Herat,Afghanistan,33.29565,61.95221,4.5,1115.0
Kunduz,Kondoz|Konduz|Kundus|Kunduz|Kunduz khot|Kunduzas|Qonduz|Qunduz|Shahr-e Qondoz|UND|kantacu|kndwz|kndz|kuduza|kun dou shi|kundouzu|kunduja|kundujeu|kundus|kunduza|qndwz|qndz,Kunduz,Afghanistan,36.72895,68.857,4.5,402.0
Khost,Houst|KHT|Khost|Khowst|Matun|Xost|hosuto|khosata|khosta|khwst|kihositi|mtwn,Khowst,Afghanistan,33.33951,69.92041,4.5,1183.0
